标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
精品外窗单间1000元每月数量有限,990,整租,普通住宅,1室1厅1卫,20平米,朝东,精装修,第2层/共2层,江宁里小区,江头北路,经纪人：
金枋世家金典一房，让你一见倾心,1800,整租,普通住宅,1室1厅1卫,50平米,朝东,精装修,第6层/共12层,金枋世家,,经纪人：
五缘湾建发中.央湾区两房带书房清爽风格业主寻一位有缘人,6500,整租,普通住宅,2室2厅1卫,90平米,朝南,精装修,第19层/共27层,建发中央湾区一期,五缘湾,经纪人：
sm旁吕厝地铁口精装修业主急租.客厅带阳台,2400,整租,普通住宅,1室1厅1卫,50平米,朝南北,精装修,第21层/共28层,冠宏花园,江头北路,经纪人：
江头吕厝莲花单身公寓拎包入住高层带厨房1400,1400,整租,普通住宅,1室1厅1卫,30平米,朝南北,中等装修,第22层/共32层,冠宏花园,江头北路,经纪人：
吕厝江头莲花精装拎包入住高层带阳台1900,1900,整租,普通住宅,1室1厅1卫,40平米,朝南北,中等装修,第22层/共32层,冠宏花园,江头北路,经纪人：
江头台湾街，精装修两房，业主急租，,3000,整租,普通住宅,2室2厅1卫,70平米,朝南北,精装修,第15层/共28层,台湾街建邦大厦,江头北路,经纪人：
江头莲花松柏片区，一房带阳台只需1900,1900,整租,普通住宅,1室1厅1卫,49平米,朝南北,中等装修,第9层/共28层,冠宏花园,江头北路,经纪人：
福隆国际新出办公4房，带办公家具，免转让费，出租,7200,整租,普通住宅,4室2厅3卫,180平米,朝南北,精装修,第20层/共31层,福隆国际,江头北路,经纪人：
江头吕厝冠宏花园新出3房，业主底价出租看房有钥匙，朝南看中庭,4000,整租,普通住宅,3室2厅1卫,96平米,朝南北,精装修,第8层/共27层,冠宏花园,江头北路,经纪人：
湖里万达广场公寓出租、高品质小区、家具齐全、拎包入住！便宜！,2100,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第4层/共31层,湖里万达广场,,经纪人：
湖里万达广场酒店式公寓空房低价出租、高楼层，高品质小区！,1900,整租,公寓,1室0厅1卫,42平米,朝南,精装修,第30层/共31层,湖里万达广场,,经纪人：
全新家具拎包入住免中间费用,1338,整租,公寓,1室1厅1卫,25平米,第2层/共14层,,,UONE天地,高新技术园,品牌公寓：
UONE天地|精装单间|近BRT|居住证开发票,1388,合租,公寓,3室1厅3卫,20平米,第8层/共14层,,,UONE天地,市政务中心,品牌公寓：
个人县后BRT旁宏益华府海洋风一室一厅,1799,整租,公寓,1室1厅1卫,35平米,第8层/共13层,,,宏益华府,机场附近,品牌公寓：
湖里高新技术园双十BRT,1450,整租,公寓,1室0厅1卫,22平米,第3层/共13层,,,宏益华府,高新技术园,品牌公寓：
UONE天地|精装单间|近BRT|居住证开发票,1538,整租,公寓,3室1厅3卫,35平米,第4层/共14层,,,UONE天地,市政务中心,品牌公寓：
软件园附近湖里万达广场公寓房东挥泪急租。配套齐全性价比极高！,2400,整租,公寓,1室0厅1卫,44平米,朝北,精装修,第6层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山附近万达广场公寓便宜出租、家具配套齐全、性价比极高！,2400,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第4层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达酒店式公寓家具配套齐全便宜出租、高品质小区，很安静！,2500,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第12层/共31层,湖里万达广场,湖边水库片,经纪人：
出租万达广场超值1室房子 办公人士首选 低价出租 高品质小区,1800,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第30层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达广场配套齐全1室首次出租，性价比极高，高品质小区！,2300,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第4层/共31层,湖里万达广场,湖边水库片,经纪人：
万达SOHO公寓出租欧式装修带全套家电家具拎包入住。b,2200,整租,普通住宅,1室0厅1卫,42平米,朝北,精装修,第21层/共31层,万达SOHO公寓,湖边水库片,经纪人：
祥店幸福生活实验二小旁单身公寓家电齐全租2300,2300,整租,普通住宅,1室1厅1卫,48平米,朝南北,中等装修,第3层/共9层,幸福生活第二城,祥店,经纪人：
祥店联发新天地实验二小旁198平大3+1房随时看房,7500,整租,普通住宅,3室2厅2卫,198平米,朝南北,中等装修,第10层/共26层,联发新天地,祥店,经纪人：
祥店超划算的82平两房家电齐全厨房超大祥店福满园,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,中等装修,第1层/共10层,金尚风景（福满园）,祥店,经纪人：
55平1房1厅家电齐全有个大阳台祥店国贸阳光2600,2600,整租,普通住宅,1室1厅1卫,55平米,朝南北,中等装修,第17层/共20层,国贸阳光,祥店,经纪人：
42平单身公寓装修漂亮楼层高采光好有个大阳台国贸阳光,2800,整租,普通住宅,1室1厅1卫,43平米,朝南北,中等装修,第17层/共20层,国贸阳光,祥店,经纪人：
县后BRT带独立阳台400元起新装公寓20平招租中,450,整租,公寓,1室0厅1卫,20平米,朝南北,中等装修,第4层/共7层,县后brt附近,县后,个人                                                ：
蔡塘学校公交站旁新装单身公寓招租中,550,整租,公寓,1室0厅1卫,20平米,朝南北,中等装修,第1层/共6层,万科湖心岛,湖边水库片,个人                                                ：
房东新装首租，真实照片，实地拍摄，干净清爽，随时来电看房！,4800,整租,普通住宅,3室2厅2卫,119平米,朝南北,精装修,第18层/共25层,建发中央天成,祥店,经纪人：
新楼房精装修首租、绝对真实的房源和价格不是广告房源！,4800,整租,普通住宅,3室2厅1卫,119平米,朝南北,精装修,第18层/共25层,建发中央天成,祥店,经纪人：
精装2+1房带百平露台、建发中央天成新房首租、拎包入住！,5200,整租,普通住宅,3室2厅2卫,105平米,朝南,精装修,第3层/共30层,建发中央天成,祥店,经纪人：
中医院旁【幸福生活.第二城】房东自住型装修，真实照片实地拍摄,4800,整租,普通住宅,3室2厅2卫,134平米,朝南北,精装修,第9层/共18层,幸福第二城,祥店,经纪人：
联发新天地超.值高使用率精装二房，交.通便利舒适环境等你享受,3800,整租,普通住宅,2室2厅1卫,70平米,朝南北,精装修,第3层/共25层,联发新天地三期,金尚路,经纪人：
急租国贸阳光三期。精品小高层普装二房。交通生活两便利！,2500,整租,普通住宅,2室1厅1卫,50平米,朝南,中等装修,第10层/共20层,国贸阳光,祥店,经纪人：
青友公寓无中介 湖里高新区精品房源 设施配备齐全 交通便利,1900,整租,公寓,1室1厅1卫,25平米,第9层/共9层,,,国际石材中心,五缘湾,品牌公寓：
直租免中介，湖里高新技术园力拓大厦,1600,整租,公寓,1室1厅1卫,32平米,第8层/共13层,,,力拓大厦,高新技术园,品牌公寓：
智能门锁家电齐全拎包入住,1538,整租,公寓,1室1厅1卫,34平米,第4层/共14层,,,UONE天地,高新技术园,品牌公寓：
房东直租免中介费 高档海景小区湖里高新技术园1900,1900,整租,公寓,1室1厅1卫,30平米,第9层/共13层,,,新景国际外滩,机场附近,品牌公寓：
青友公寓免中介 湖里 枋湖 大洋雅苑1室 1000精装 采光好,1000,整租,公寓,1室0厅1卫,26平米,第7层/共15层,,,大洋雅苑,金尚路,品牌公寓：
精装复式楼中楼大四房太微山庄高层使用250平仅租5500,5500,整租,普通住宅,4室2厅2卫,168平米,朝南北,精装修,第8层/共10层,太微山庄,金尚路,经纪人：
湖里万达广场软件园二期蔡塘世茂湖滨高装,3200,整租,普通住宅,1室1厅2卫,60平米,朝南北,精装修,第14层/共28层,世茂湖滨首府,湖边水库片,经纪人：
BRT沿线乐购附近双十中学旁水晶森林电梯居家2房家具齐全急租,4100,整租,普通住宅,2室2厅1卫,80平米,朝南北,豪华装修,第5层/共13层,水晶森林,枋湖,经纪人：
高新计数园BRT双十中学站乔丹力拓一房一厅精美装修包物业宽带,2300,整租,普通住宅,1室1厅1卫,35平米,朝东西,精装修,第8层/共13层,力拓新城,五缘湾,经纪人：
五缘湾高新区力拓信诚宏益万华多套精装一房一厅出租包物业宽带,1900,整租,普通住宅,1室1厅1卫,45平米,朝南北,精装修,第8层/共13层,力拓新城,五缘湾,经纪人：
高新园创新园宏益华府精装单身公寓家具齐全租金包物业宽带BRT,1450,整租,普通住宅,1室0厅1卫,22平米,朝南北,精装修,第8层/共13层,宏益华府,高新技术园,经纪人：
高新产业园宏益华府力拓大厦一房一厅租金包物业宽带BRT沿线,1900,整租,普通住宅,1室1厅1卫,31平米,朝南北,精装修,第8层/共13层,宏益华府,高新技术园,经纪人：
江头台湾街电梯豪装三房天地花园三房187平,6000,整租,普通住宅,3室2厅2卫,187平米,朝南北,豪华装修,第7层/共9层,天地花园,江头北路,经纪人：
提包入住BRT沿线高层看湖景宽敞舒适交通方便,11000,整租,普通住宅,5室1厅3卫,227平米,朝南北,中等装修,第27层/共30层,融景湾,湖边水库片,经纪人：
万达广场世茂提包入住有需要的联系清爽装修软件园,2500,整租,普通住宅,1室1厅1卫,35平米,朝南北,中等装修,第15层/共40层,世茂湖滨首府,湖边水库片,经纪人：
真实B区世茂湖滨花园4房全套家具精装修6800,6800,整租,普通住宅,4室2厅2卫,164平米,朝南北,精装修,第12层/共32层,世茂湖滨首府,湖边水库片,经纪人：
C区出租办公4000签5年世茂湖滨3房全湖景,4000,整租,普通住宅,3室2厅2卫,155平米,朝南北,毛坯,第30层/共32层,世茂湖滨首府,湖边水库片,经纪人：
世茂B2区边套楼中楼140平毛坯做4房办公住家4000,4000,整租,普通住宅,4室2厅2卫,141平米,朝南北,毛坯,第20层/共36层,世茂湖滨首府,湖边水库片,经纪人：
套房日租，酒店式装修，经济划算4个房间，167平，拎包住,7800,整租,普通住宅,4室2厅2卫,167平米,朝南北,精装修,第20层/共32层,世茂湖滨首府,湖边水库片,经纪人：
万达软件园二期世茂湖滨花园精装修3房5000,5000,整租,普通住宅,3室2厅2卫,105平米,朝南北,精装修,第7层/共32层,世茂湖滨首府,湖边水库片,经纪人：
品质小区世茂湖滨高档装修4房看湖看海12000,12000,整租,普通住宅,4室2厅2卫,192平米,朝南北,简单装修,第36层/共41层,世茂湖滨首府,湖边水库片,经纪人：
万科软件园世茂湖滨3房简单装修6000元,6000,整租,普通住宅,3室2厅2卫,131平米,朝南北,简单装修,第26层/共28层,世茂湖滨首府,湖边水库片,经纪人：
五缘湾万达附近世茂花园业主自住精装2房5300元,5300,整租,普通住宅,2室2厅2卫,105平米,朝南北,精装修,第8层/共32层,世茂湖滨首府,湖边水库片,经纪人：
枋湖祥店中医院旁《正规3房全套家电》仅5500,5500,整租,普通住宅,3室2厅2卫,124平米,朝南北,中等装修,第20层/共28层,建发中央天成,祥店,经纪人：
青友公寓招租 免中介 精装修 户型多种 多套任选 欢迎入住 包物业宽带,1500,整租,公寓,1室0厅1卫,25平米,第15层/共15层,,,祥店新村,台湾街,品牌公寓：
湖里吕厝附近台湾街华永天地两室出租,2900,整租,公寓,2室1厅1卫,65平米,第13层/共15层,,,华永天地,吕厝,品牌公寓：
青友品牌公寓免中介 BRT双十中学站 湖里高新技术园力拓新城,1600,整租,公寓,1室0厅1卫,20平米,第8层/共13层,,,力拓新城,机场附近,品牌公寓：
青友公寓直租免中介费 国际石材新出精装公寓 设计新颖 设施配备齐全 包物业宽带,1550,整租,公寓,1室1厅1卫,25平米,第5层/共9层,,,国际石材中心,机场附近,品牌公寓：
个人非中介 高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,43平米,第8层/共13层,,,力拓大厦,万达广场,品牌公寓：
万达软件园二期世茂湖滨花园精装修3房5000,5000,整租,普通住宅,3室2厅2卫,105平米,朝南北,精装修,第7层/共32层,世茂湖滨首府,湖边水库片,经纪人：
品质小区世茂湖滨高档装修4房看湖看海12000,12000,整租,普通住宅,4室2厅2卫,192平米,朝南北,简单装修,第36层/共41层,世茂湖滨首府,湖边水库片,经纪人：
万科软件园世茂湖滨3房简单装修6000元,6000,整租,普通住宅,3室2厅2卫,131平米,朝南北,简单装修,第26层/共28层,世茂湖滨首府,湖边水库片,经纪人：
五缘湾万达附近世茂花园业主自住精装2房5300元,5300,整租,普通住宅,2室2厅2卫,105平米,朝南北,精装修,第8层/共32层,世茂湖滨首府,湖边水库片,经纪人：
枋湖祥店中医院旁《正规3房全套家电》仅5500,5500,整租,普通住宅,3室2厅2卫,124平米,朝南北,中等装修,第20层/共28层,建发中央天成,祥店,经纪人：
万达SOHO公寓高层朝南边套拎包入住环境优美,2300,整租,普通住宅,1室1厅1卫,44平米,朝南北,中等装修,第26层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万科云玺金融大厦精装修适合办公随时看房,6999,整租,普通住宅,4室2厅2卫,110平米,朝南北,中等装修,第3层/共30层,万科中心,万达广场,经纪人：
高新技术园宏益华府新房出租温馨住家家电齐全拎包入住,1600,整租,普通住宅,1室1厅1卫,39平米,朝南,精装修,第8层/共13层,宏益华府,高新技术园,经纪人：
出租新装未入住4房2厅2卫111平米复式使用180平米,7000,整租,普通住宅,2室2厅1卫,111平米,朝西,中等装修,第17层/共28层,万科中心,万达广场,经纪人：
联发新天地大四房精装修199平只要7000每月居家办公,7000,整租,普通住宅,4室2厅2卫,199平米,朝南北,中等装修,第10层/共25层,联发新天地,祥店,经纪人：
软件园二期湖里万达广场蔡塘世茂湖滨花园高装2房,3900,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第17层/共28层,世茂湖滨首府,湖边水库片,经纪人：
湖里万达广场软件园二期蔡塘世茂湖滨首府高装2房,3800,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第9层/共28层,世茂湖滨首府,湖边水库片,经纪人：
万达SOHO44平公司办公交通方便可创业好选择,1700,整租,公寓,1室1厅1卫,42平米,朝南,精装修,第20层/共31层,万达SOHO公寓,湖边水库片,经纪人：
